응답자ID,ID,나이,성별,실내환경1,실내환경2,실내환경3,실내환경4,실내환경5,실내환경6,실내환경7,실내환경8,실외환경1,실외환경2,주변편의시설1,주변편의시설2,공동시설1,공동시설2,공동시설3,공동시설4,공동시설5,공동시설6,경제성1
a29,인비따레 오피스텔,21,여,4,5,5,5,4,3,3,5,4,5,5,3,3,3,4,3,0,0,6
a30,인비따레 오피스텔,22,여,4,5,5,5,2,5,4,3,4,3,4,3,3,4,3,4,0,0,6
a31,진탁주택,21,남,4,4,5,4,2,2,3,4,3,4,3,3,4,5,3,5,0,0,0
a32,진탁주택,20,남,5,5,5,3,3,3,4,5,2,5,5,4,4,4,4,3,0,0,0
a33,진탁주택,21,남,5,5,5,5,2,4,5,2,5,3,4,5,3,4,3,4,0,0,0
a34,연희 노블레스,20,여,5,5,5,5,5,2,3,3,3,4,4,4,5,4,2,5,0,0,0
a35,연희 노블레스,23,여,5,5,5,4,5,5,5,4,4,5,5,2,3,4,4,4,0,0,0
a36,연희 노블레스,20,남,5,5,5,4,4,4,3,2,2,4,4,3,4,4,4,3,0,0,0
a37,대우아트빌,21,남,5,5,5,5,3,4,5,4,3,3,5,4,3,5,2,4,0,0,5
a38,대우아트빌,22,여,3,5,5,4,2,5,3,5,4,5,4,2,5,3,4,3,0,0,5
a39,대우아트빌,23,여,5,5,5,4,3,3,2,4,5,4,5,3,4,4,5,5,0,0,5
